,name,company,year,price,kms_driven,fuel_type
16657,Suzuki Cultus,Suzuki ,2012,890000,98000,Petrol
16658,Suzuki Cultus,Suzuki ,2009,730000,80000,Petrol
16659,Honda Civic,Honda ,1997,620000,173000,Petrol
16660,Honda Civic,Honda ,2004,1010000,250000,Petrol
16661,Toyota Prado,Toyota ,1999,2950000,102600,Diesel
16662,Suzuki Mehran,Suzuki ,2015,770000,65000,Petrol
16663,Honda BR-V,Honda ,2018,2900000,31000,Petrol
16664,Nissan Navara,Nissan ,2008,1375000,100000,Diesel
16665,Suzuki Kei,Suzuki ,2007,850000,72000,Petrol
16666,Suzuki Mehran,Suzuki ,2015,795000,82000,Petrol
16667,Honda City,Honda ,2006,1220000,225000,Petrol
16668,Suzuki Alto,Suzuki ,2013,1390000,83000,Petrol
16669,Toyota Corolla,Toyota ,2015,2600000,95000,Petrol
16670,Suzuki Mehran,Suzuki ,2018,900000,50000,Petrol
16671,Suzuki Swift,Suzuki ,2017,1570000,82000,Petrol
16672,Suzuki Mehran,Suzuki ,2016,950000,22014,Petrol
16673,Honda City,Honda ,2007,1250000,101800,Petrol
16674,Suzuki Wagon,Suzuki ,2017,1600000,10000,Petrol
16675,Suzuki Mehran,Suzuki ,2016,930000,18998,Petrol
16676,Toyota Corolla,Toyota ,2016,2830000,65000,Petrol
16677,Suzuki Mehran,Suzuki ,2019,1120000,24000,Petrol
16678,Toyota Corolla,Toyota ,2017,2650000,47000,Petrol
16679,Toyota Hilux,Toyota ,2013,3100000,107000,Diesel
16680,Honda Civic,Honda ,2002,840000,170000,Petrol
16681,Toyota Vitz,Toyota ,2016,2300000,16000,Petrol
16682,Suzuki Cultus,Suzuki ,2019,1840000,20000,Petrol
16683,Daihatsu Cast,Daihatsu ,2016,1810000,28845,Petrol
16684,Suzuki Cultus,Suzuki ,2017,1600000,90000,Petrol
16685,Nissan Other,Nissan ,2007,1280000,65000,Petrol
16686,Toyota Passo,Toyota ,2013,1650000,113000,Petrol
16687,Honda Civic,Honda ,2007,1390000,134000,Petrol
16688,Toyota Aqua,Toyota ,2013,2150000,70000,Hybrid
16689,Toyota Corolla,Toyota ,2017,3265000,59000,Petrol
16690,Toyota Corolla,Toyota ,2019,3450000,800,Petrol
16691,Suzuki Mehran,Suzuki ,2007,500000,52000,Petrol
16692,Suzuki Alto,Suzuki ,2019,1395000,9000,Petrol
16693,Honda City,Honda ,2006,1100000,113000,Petrol
16694,Suzuki Alto,Suzuki ,2018,1480000,40000,Petrol
16695,Suzuki Bolan,Suzuki ,2006,500000,150000,Petrol
16696,Suzuki Bolan,Suzuki ,2012,710000,100000,Petrol
16697,Nissan Wingroad,Nissan ,2007,1450000,168000,Petrol
16698,Toyota Hilux,Toyota ,2017,5750000,27000,Diesel
16699,Toyota Prius,Toyota ,2012,2485000,110000,Petrol
16700,Suzuki Alto,Suzuki ,2013,1390000,83000,Petrol
16701,Suzuki Mehran,Suzuki ,2007,625000,73000,Petrol
16702,Honda Accord,Honda ,2006,2150000,122000,Petrol
16703,Suzuki Cultus,Suzuki ,2005,650000,154000,Petrol
16704,Suzuki Wagon,Suzuki ,2018,1550000,41000,Petrol
16705,Suzuki Mehran,Suzuki ,2015,740000,78000,Petrol
16706,Toyota Corolla,Toyota ,2016,2000000,85000,Petrol
16707,Suzuki Mehran,Suzuki ,2019,1030000,20000,Petrol
16708,Toyota Pixis,Toyota ,2015,1380000,48000,Petrol
16709,Daihatsu Cuore,Daihatsu ,2006,575000,140000,Petrol
16710,Toyota Corolla,Toyota ,2014,1850000,113000,Petrol
16711,Toyota Vitz,Toyota ,2005,1100000,130000,Petrol
16712,Honda Civic,Honda ,2000,880000,150000,Petrol
16713,Toyota Corolla,Toyota ,2003,1280000,145000,Petrol
16714,Suzuki Mehran,Suzuki ,2014,680000,82000,Petrol
16715,Toyota Corolla,Toyota ,2016,2475000,110000,Petrol
16716,Suzuki Wagon,Suzuki ,2018,1580000,37000,Petrol
16717,Honda City,Honda ,2019,2350000,20000,Petrol
16718,Toyota Corolla,Toyota ,1997,830000,95000,Petrol
16719,Honda Civic,Honda ,2013,2400000,60000,Petrol
16720,Daihatsu Cuore,Daihatsu ,2001,350000,100000,Petrol
16721,Nissan Juke,Nissan ,2013,2400000,75300,Petrol
16722,Hyundai Santro,Hyundai ,2007,655000,89000,Petrol
16723,Suzuki Alto,Suzuki ,2015,1250000,77521,Petrol
16724,Toyota Aqua,Toyota ,2015,2650000,59000,Petrol
16725,Toyota Corolla,Toyota ,2011,1650000,115000,Petrol
